Packet Number,Time
1, 0
2, 0.04610150994988866
3, 0.05397138325314184
4, 0.47669533171619544
5, 0.5140944147508875
6, 0.5484079710424097
7, 0.5811144553279315
8, 0.6268600023879495
9, 0.7449282896066939
10, 0.7572592674720874
11, 0.8050558923833783
12, 1.162317687038798
13, 1.5389610071096351
14, 1.9749264914575249
15, 2.0881774920376888
16, 2.15110325513264
17, 2.585741012265718
18, 2.647705140717982
19, 2.6920011162740005
20, 3.331144278981745
21, 3.5939053709994533
22, 4.068249711758522
23, 4.3398011126055005
24, 4.4159304952168705
25, 4.45121369211401
26, 4.521122314940234
27, 4.523188753085465
28, 5.097345402998334
29, 5.168794512214952
30, 5.2067081094699335
31, 5.473552687338199
32, 6.058510473391454
33, 6.078392802845033
34, 6.14743156741704
35, 6.194607887421228
36, 6.265192936655034
37, 6.912811500629753
38, 6.975713225873304
39, 7.0740335827121665
40, 7.098903312625488
41, 7.584145983730177
42, 8.039014400607432
43, 8.088176617774586
44, 8.109903176852946
45, 8.115335151709502
46, 8.159410490041548
47, 8.502863795992551
48, 8.878391784220234
49, 9.134521385599125
50, 9.59468929941021
51, 9.656736606458255
52, 9.744415488914322
53, 10.437019499936522
54, 10.456225112869717
55, 10.500152581051417
56, 10.967387524546846
57, 11.461866051958012
58, 12.078319928196072
59, 12.681439519248016
60, 12.743297165266206
61, 13.457130459558739
62, 13.517369693780623
63, 13.66937238880972
64, 13.729462430757017
65, 13.7476731860308
66, 14.204225958316485
67, 14.852498702725086
68, 14.920073678968444
69, 15.57863078658007
70, 15.628251775569883
71, 15.690792058213269
72, 15.703073052215968
73, 15.729702151307867
74, 15.772482735821809
75, 15.971775953545324
76, 16.019863020809986
77, 16.261511345460516
78, 16.318415888315137
79, 16.653059818879722
80, 17.300932018528663
81, 17.336450067174674
82, 17.472144706653697
83, 17.89094723437928
84, 17.901849493561016
85, 17.918214832679368
86, 18.496947003538004
87, 18.742870816160227
88, 19.455870485335186
89, 19.471443002189133
90, 19.542775730603697
91, 19.808942760976393
92, 19.960399367969206
93, 20.490079633567863
94, 21.095617398196236
95, 21.209839510243015
96, 21.462960902156546
97, 21.48187059608944
98, 21.49325597959424
99, 22.004949507192794
100, 22.06701033831407
101, 22.117598800066737
102, 22.53500986794223
103, 22.61961246546277
104, 22.79971314080659
105, 22.829013247372153
106, 23.33097802260888
107, 23.823234168936697
108, 23.83278537270119
109, 23.856328323865082
110, 23.89660655813269
111, 24.524331187658344
112, 24.770020747440423
113, 24.803147718322993
114, 24.809604653224888
115, 25.105705037262215
116, 25.563204117210518
117, 25.71073277653295
118, 25.849840108839505
119, 26.176366422620408
120, 26.53741390724329
121, 26.58504561872932
122, 26.87608618100296
123, 27.491290988600557
124, 27.696116764045737
125, 28.356098587233745
126, 28.357728031308586
127, 28.64487466197002
128, 28.94612930006104
129, 29.222100624287897
130, 29.25547236782184
131, 29.48005437089312
132, 29.485798516108698
133, 29.761408922569554
134, 29.798340518909363
135, 29.80066303567895
136, 30.08706887545684
137, 30.78368242930306
138, 31.02189167986844
139, 31.095095961792808
140, 31.13706803991566
141, 31.184902345171636
142, 31.22940739293573
143, 31.24647449227404
144, 31.977344850155067
145, 32.13490230121452
146, 32.14447108026369
147, 32.204158373362304
148, 32.25008271721924
149, 32.26266984412245
150, 32.30950912088603
151, 32.34175475919154
152, 32.95692312352562
153, 32.99762297025274
154, 33.05549918123346
155, 33.49841601973633
156, 33.88232532447088
157, 33.94879957269546
158, 33.99167288231124
159, 34.0326857792736
160, 34.29746390284333
161, 34.36857082609499
162, 34.432568345495284
163, 34.744347105742044
164, 35.10132654663148
165, 35.1590953838704
166, 35.212773438176555
167, 35.27268684722278
168, 35.88642326539169
169, 35.97130541238856
170, 35.976894402862996
171, 36.55464722011798
172, 36.617649211379224
173, 36.618753458925575
174, 36.64422887575127
175, 36.652407028599214
176, 36.99196478819726
177, 37.52027615437535
178, 37.53318519750385
179, 37.54132307195355
180, 37.66067073879152
181, 37.6640961141116
182, 37.679354636889485
183, 37.717749661100754
184, 38.29928154247651
185, 38.505614042553994
186, 38.57219974837445
187, 38.63261221713098
188, 38.687819347990384
189, 38.72222311030089
